2024-09-23 22:35:35,920:INFO:Timestamp: 2024-09-23 22:35:35, CPU Usage: 10.4%, RAM Usage: 88.6%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:35:37,008:INFO:Timestamp: 2024-09-23 22:35:37, CPU Usage: 13.4%, RAM Usage: 88.6%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:35:38,060:INFO:Timestamp: 2024-09-23 22:35:38, CPU Usage: 10.6%, RAM Usage: 88.1%, Disk Usage: 36.5%, CPU Temperature: 62.0 °C, Fan Speed: None RPM
2024-09-23 22:35:39,113:INFO:Timestamp: 2024-09-23 22:35:39, CPU Usage: 10.7%, RAM Usage: 87.9%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:35:40,166:INFO:Timestamp: 2024-09-23 22:35:40, CPU Usage: 10.6%, RAM Usage: 87.7%, Disk Usage: 36.5%, CPU Temperature: 62.0 °C, Fan Speed: None RPM
2024-09-23 22:35:41,218:INFO:Timestamp: 2024-09-23 22:35:41, CPU Usage: 11.0%, RAM Usage: 87.6%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:35:42,231:INFO:Timestamp: 2024-09-23 22:35:42, CPU Usage: 32.8%, RAM Usage: 87.7%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:35:43,287:INFO:Timestamp: 2024-09-23 22:35:43, CPU Usage: 21.5%, RAM Usage: 87.6%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:35:44,358:INFO:Timestamp: 2024-09-23 22:35:44, CPU Usage: 34.4%, RAM Usage: 87.9%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:35:45,417:INFO:Timestamp: 2024-09-23 22:35:45, CPU Usage: 83.3%, RAM Usage: 89.1%, Disk Usage: 36.5%, CPU Temperature: 66.0 °C, Fan Speed: None RPM
2024-09-23 22:35:46,479:INFO:Timestamp: 2024-09-23 22:35:46, CPU Usage: 71.0%, RAM Usage: 88.3%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:35:47,535:INFO:Timestamp: 2024-09-23 22:35:47, CPU Usage: 29.9%, RAM Usage: 88.6%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:35:48,625:INFO:Timestamp: 2024-09-23 22:35:48, CPU Usage: 19.1%, RAM Usage: 88.9%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:35:49,682:INFO:Timestamp: 2024-09-23 22:35:49, CPU Usage: 12.8%, RAM Usage: 88.4%, Disk Usage: 36.5%, CPU Temperature: 62.0 °C, Fan Speed: None RPM
2024-09-23 22:35:50,735:INFO:Timestamp: 2024-09-23 22:35:50, CPU Usage: 9.7%, RAM Usage: 88.4%, Disk Usage: 36.5%, CPU Temperature: 62.0 °C, Fan Speed: None RPM
